date,state,Location Abbr,change_infection,positiveIncrease,positive,stay_at_home_order,mask_mandates,travel_restrictions,restaurant_limit
20200604,AK,Alaska,1.015841584,8,513,0,0,1,0
20200603,AK,Alaska,1.036960986,18,505,0,0,1,0
20200602,AK,Alaska,1.042826552,20,487,0,0,1,0
20200601,AK,Alaska,1.076036866,33,467,0,0,1,0
20200531,AK,Alaska,1,0,434,0,0,1,0
20200530,AK,Alaska,1.009302326,4,434,0,0,1,0
20200529,AK,Alaska,1.011764706,5,430,0,0,1,0
20200528,AK,Alaska,1.031553398,13,425,0,0,1,0
20200527,AK,Alaska,1.00243309,1,412,0,0,1,0
20200526,AK,Alaska,1.004889976,2,411,0,0,1,0
20200525,AK,Alaska,1.00245098,1,409,0,0,1,0
20200524,AK,Alaska,1,0,408,0,0,1,0
20200523,AK,Alaska,1.00990099,4,408,0,0,1,0
20200522,AK,Alaska,1.004975124,2,404,0,0,1,0
20200521,AK,Alaska,1,0,402,0,0,1,1
20200520,AK,Alaska,1.007518797,3,402,0,0,1,1
20200519,AK,Alaska,1,0,399,0,0,1,1
20200518,AK,Alaska,1.007575758,3,399,0,0,1,1
20200517,AK,Alaska,1.010204082,4,396,0,0,1,1
20200516,AK,Alaska,1.010309278,4,392,0,0,1,1
20200515,AK,Alaska,1.002583979,1,388,0,0,1,1
20200514,AK,Alaska,1.010443864,4,387,0,0,1,1
20200513,AK,Alaska,1,0,383,0,0,1,1
20200512,AK,Alaska,1.005249344,2,383,0,0,1,1
20200511,AK,Alaska,1.005277045,2,381,0,0,1,1
20200510,AK,Alaska,1.002645503,1,379,0,0,1,1
20200509,AK,Alaska,1.00265252,1,378,0,0,1,1
20200508,AK,Alaska,1.00802139,3,377,0,0,1,1
20200507,AK,Alaska,1.005376344,2,374,0,0,1,1
20200506,AK,Alaska,1.002695418,1,372,0,0,1,1
20200505,AK,Alaska,1.002702703,1,371,0,0,1,1
20200504,AK,Alaska,1.005434783,2,370,0,0,1,1
20200503,AK,Alaska,1.008219178,3,368,0,0,1,1
20200502,AK,Alaska,1.002747253,1,365,0,0,1,1
20200501,AK,Alaska,1.025352113,9,364,0,0,1,1
20200430,AK,Alaska,1,0,355,0,0,1,1
20200429,AK,Alaska,1.011396011,4,355,0,0,1,1
20200428,AK,Alaska,1.017391304,6,351,0,0,1,1
20200427,AK,Alaska,1.011730205,4,345,0,0,1,1
20200426,AK,Alaska,1.005899705,2,341,0,0,1,1
20200425,AK,Alaska,1,0,339,0,0,1,1
20200424,AK,Alaska,1.005934718,2,339,0,0,1,1
20200423,AK,Alaska,1.005970149,2,337,0,0,1,1
20200422,AK,Alaska,1.018237082,6,335,0,0,1,1
20200421,AK,Alaska,1.024922118,8,329,1,0,1,1
20200420,AK,Alaska,1.006269592,2,321,1,0,1,1
20200419,AK,Alaska,1.015923567,5,319,1,0,1,1
20200418,AK,Alaska,1.01618123,5,314,1,0,1,1
20200417,AK,Alaska,1.03,9,309,1,0,1,1
20200416,AK,Alaska,1.023890785,7,300,1,0,1,1
20200415,AK,Alaska,1.028070175,8,293,1,0,1,1
20200414,AK,Alaska,1.028880866,8,285,1,0,1,1
20200413,AK,Alaska,1.018382353,5,277,1,0,1,1
20200412,AK,Alaska,1.058365759,15,272,1,0,1,1
20200411,AK,Alaska,1.044715447,11,257,1,0,1,1
20200410,AK,Alaska,1.046808511,11,246,1,0,1,1
20200409,AK,Alaska,1.039823009,9,235,1,0,1,1
20200408,AK,Alaska,1.061032864,13,226,1,0,1,1
20200407,AK,Alaska,1.115183246,22,213,1,0,1,1
20200406,AK,Alaska,1.032432432,6,191,1,0,1,1
20200405,AK,Alaska,1.081871345,14,185,1,0,1,1
20200404,AK,Alaska,1.089171975,14,171,1,0,1,1
20200403,AK,Alaska,1.097902098,14,157,1,0,1,1
20200402,AK,Alaska,1.07518797,10,143,1,0,1,1
20200401,AK,Alaska,1.117647059,14,133,1,0,1,1
20200331,AK,Alaska,1.043859649,5,119,1,0,1,1
20200330,AK,Alaska,1.117647059,12,114,1,0,1,1
20200329,AK,Alaska,1.2,17,102,1,0,1,1
20200328,AK,Alaska,1.231884058,16,85,1,0,1,1
20200327,AK,Alaska,1.169491525,10,69,0,0,1,1
20200326,AK,Alaska,1.404761905,17,59,0,0,1,1
20200325,AK,Alaska,1.166666667,6,42,0,0,1,1
20200324,AK,Alaska,1.636363636,14,36,0,0,1,1
20200323,AK,Alaska,1,0,22,0,0,1,1
20200322,AK,Alaska,1.571428571,8,22,0,0,1,1
20200321,AK,Alaska,1.166666667,2,14,0,0,1,1
20200320,AK,Alaska,2,6,12,0,0,1,1
20200319,AK,Alaska,1,0,6,0,0,1,1
20200318,AK,Alaska,2,3,6,0,0,1,1
20200317,AK,Alaska,3,2,3,0,0,1,0
20200316,AK,Alaska,1,0,1,0,0,1,0
20200315,AK,Alaska,1,0,1,0,0,1,0
20200314,AK,Alaska,1,0,1,0,0,1,0
20200604,AL,Alabama,1.011723516,221,19072,0,0,0,0
20200603,AL,Alabama,1.011211243,209,18851,0,0,0,0
20200602,AL,Alabama,1.015193596,279,18642,0,0,0,0
20200601,AL,Alabama,1.025694018,460,18363,0,0,0,0
20200531,AL,Alabama,1.031338211,544,17903,0,0,0,0
20200530,AL,Alabama,1.031861142,536,17359,0,0,0,0
20200529,AL,Alabama,1.031453096,513,16823,0,0,0,0
20200528,AL,Alabama,1.029476741,467,16310,0,0,0,0
20200527,AL,Alabama,1.029033515,447,15843,0,0,0,0
20200526,AL,Alabama,1.045213849,666,15396,0,0,0,0
20200525,AL,Alabama,1.028128708,403,14730,0,0,0,0
20200524,AL,Alabama,1.027909313,389,14327,0,0,0,0
20200523,AL,Alabama,1.02764875,375,13938,0,0,0,0
20200522,AL,Alabama,1.033844043,444,13563,0,0,0,0
20200521,AL,Alabama,1.029425612,375,13119,0,0,0,0
20200520,AL,Alabama,1.029734971,368,12744,0,0,0,0
20200519,AL,Alabama,1.023994705,290,12376,0,0,0,0
20200518,AL,Alabama,1.026760683,315,12086,0,0,0,0
20200517,AL,Alabama,1.021522173,248,11771,0,0,0,0
20200516,AL,Alabama,1.027371612,307,11523,0,0,0,0
20200515,AL,Alabama,1.022611233,248,11216,0,0,0,0
20200514,AL,Alabama,1.033060186,351,10968,0,0,0,0
20200513,AL,Alabama,1.029776916,307,10617,0,0,0,0
20200512,AL,Alabama,1.030072934,301,10310,0,0,0,0
20200511,AL,Alabama,1.02372916,232,10009,0,0,0,1
20200510,AL,Alabama,1.021950455,210,9777,0,0,0,1
20200509,AL,Alabama,1.037523045,346,9567,0,0,0,1
20200508,AL,Alabama,1.036300292,323,9221,0,0,0,1
20200507,AL,Alabama,1.036942081,317,8898,0,0,0,1
20200506,AL,Alabama,1.035727218,296,8581,0,0,0,1
20200505,AL,Alabama,1.032398754,260,8285,0,0,0,1
20200504,AL,Alabama,1.038834951,300,8025,0,0,0,1
20200503,AL,Alabama,1.039144471,291,7725,0,0,0,1
20200502,AL,Alabama,1.038558256,276,7434,0,0,0,1
20200501,AL,Alabama,1.019803391,139,7158,0,0,0,1
20200430,AL,Alabama,1.025869629,177,7019,1,0,0,1
20200429,AL,Alabama,1.023179303,155,6842,1,0,0,1
20200428,AL,Alabama,1.028927527,188,6687,1,0,0,1
20200427,AL,Alabama,1.036523126,229,6499,1,0,0,1
20200426,AL,Alabama,1.021671827,133,6270,1,0,0,1
20200425,AL,Alabama,1.052297668,305,6137,1,0,0,1
20200424,AL,Alabama,1.009345794,54,5832,1,0,0,1
20200423,AL,Alabama,1.057273559,313,5778,1,0,0,1
20200422,AL,Alabama,1.044733321,234,5465,1,0,0,1
20200421,AL,Alabama,1.040995025,206,5231,1,0,0,1
20200420,AL,Alabama,1.038867066,188,5025,1,0,0,1
20200419,AL,Alabama,1.039097744,182,4837,1,0,0,1
20200418,AL,Alabama,1.027593819,125,4655,1,0,0,1
20200417,AL,Alabama,1.042577675,185,4530,1,0,0,1
20200416,AL,Alabama,1.056406516,232,4345,1,0,0,1
20200415,AL,Alabama,1.061145511,237,4113,1,0,0,1
20200414,AL,Alabama,1.038028923,142,3876,1,0,0,1
20200413,AL,Alabama,1.05929078,209,3734,1,0,0,1
20200412,AL,Alabama,1.104669383,334,3525,1,0,0,1
20200411,AL,Alabama,1.075134771,223,3191,1,0,0,1
20200410,AL,Alabama,1.0718671,199,2968,1,0,0,1
20200409,AL,Alabama,1.168847615,400,2769,1,0,0,1
20200408,AL,Alabama,1.117980179,250,2369,1,0,0,1
20200407,AL,Alabama,1.076727642,151,2119,1,0,0,1
20200406,AL,Alabama,1.095768374,172,1968,1,0,0,1
20200405,AL,Alabama,1.136708861,216,1796,1,0,0,1
20200404,AL,Alabama,1.103351955,148,1580,1,0,0,1
20200403,AL,Alabama,1.161394972,199,1432,0,0,0,1
20200402,AL,Alabama,1.144846797,156,1233,0,0,0,1
20200401,AL,Alabama,1.097859327,96,1077,0,0,0,1
20200331,AL,Alabama,1.142025611,122,981,0,0,0,1
20200330,AL,Alabama,1.065756824,53,859,0,0,0,1
20200329,AL,Alabama,1.158045977,110,806,0,0,0,1
20200328,AL,Alabama,1.185689949,109,696,0,0,0,1
20200327,AL,Alabama,1.160079051,81,587,0,0,0,1
20200326,AL,Alabama,1.787985866,223,506,0,0,0,1
20200325,AL,Alabama,1.31627907,68,283,0,0,0,1
20200324,AL,Alabama,1.28742515,48,215,0,0,0,1
20200323,AL,Alabama,1.210144928,29,167,0,0,0,1
20200322,AL,Alabama,1.112903226,14,138,0,0,0,1
20200321,AL,Alabama,1.530864198,43,124,0,0,0,1
20200320,AL,Alabama,1.191176471,13,81,0,0,0,1
20200319,AL,Alabama,1.47826087,22,68,0,0,0,1
